name,passengers
池袋,490259
椎名町,20723
東長崎,28018
江古田,34021
桜台,15087
練馬,132938
中村橋,40729
富士見台,27884
練馬高野台,27206
石神井公園,82558
大泉学園,88104
保谷,63043
ひばりケ丘,73608
東久留米,55076
清瀬,70760
秋津,81556
西所沢,25814
小手指,49193
小竹向原,144528
新桜台,9532
豊島園,14537
西武新宿,184573
高田馬場,305741
下落合,12479
中井,29834
新井薬師前,22880
沼袋,20551
野方,25522
都立家政,19229
鷺ノ宮,33063
下井草,25181
井荻,20299
上井草,21490
上石神井,44959
武蔵関,31943
東伏見,25240
西武柳沢,16727
田無,75996
花小金井,59223
小平,39464
久米川,32882
東村山,49488
所沢,104984
航空公園,27404
新所沢,55856
入曽,18088
狭山市,41727
新狭山,21055
南大塚,16861
本川越,53880
国分寺,120121
恋ケ窪,12718
鷹の台,26592
小川,30215
一橋学園,21526
青梅街道,8446
萩山,10305
八坂,6095
武蔵大和,7428
西武遊園地,2695
武蔵境,30931
新小金井,3966
多磨,13971
白糸台,6253
競艇場前,2908
西武園,3657
東大和市,25965
玉川上水,42827
武蔵砂川,12203
西武立川,11977
拝島,36770
是政,7830